NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1B2	ATP6V1B2	62	0.2108687311410904	0.14104958	Yes	
row_1	ATP6V1F	ATP6V1F	72	0.20626983046531677	0.281603	Yes	
row_2	ATP6AP1	ATP6AP1	76	0.19738760590553284	0.41638443	Yes	
row_3	ATP6V1A	ATP6V1A	126	0.16942203044891357	0.52975106	Yes	
row_4	ATP6V1H	ATP6V1H	551	0.09542562067508698	0.5738017	Yes	
row_5	ATP6V1C1	ATP6V1C1	590	0.09251618385314941	0.6351461	Yes	
row_6	ATP5F1A	ATP5F1A	768	0.08109734952449799	0.68174106	Yes	
row_7	ATP5F1B	ATP5F1B	1062	0.06808681786060333	0.71364737	Yes	
row_8	ATP6V1E1	ATP6V1E1	1204	0.06354712694883347	0.7500436	Yes	
row_9	ATP5F1D	ATP5F1D	1326	0.05978070944547653	0.78486425	Yes	
row_10	ATP5PO	ATP5PO	2294	0.04146944731473923	0.76490563	No	
row_11	ATP5F1C	ATP5F1C	4376	0.02229498140513897	0.6761897	No	
row_12	ATP6V1C2	ATP6V1C2	8243	0.006842290051281452	0.4877408	No	
row_13	ATP6V1B1	ATP6V1B1	12244	-2.715465670917183E-4	0.2881063	No	
row_14	ATP6V1E2	ATP6V1E2	14161	-0.003567479085177183	0.1948311	No	
row_15	ATP5F1E	ATP5F1E	17528	-0.019162233918905258	0.039781455	No	
row_16	ATP6AP1L	ATP6AP1L	19803	-0.12486505508422852	0.011539624	No	
