NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC2A3	SLC2A3	43	0.24007225036621094	0.036252134	Yes	
row_1	SLC31A1	SLC31A1	70	0.20704220235347748	0.06807506	Yes	
row_2	SLC26A11	SLC26A11	114	0.17553368210792542	0.09399907	Yes	
row_3	SLC25A5	SLC25A5	177	0.14695195853710175	0.11439177	Yes	
row_4	SLC20A1	SLC20A1	257	0.13051269948482513	0.1312971	Yes	
row_5	SLC1A5	SLC1A5	260	0.12954246997833252	0.15192704	Yes	
row_6	SLC7A1	SLC7A1	469	0.10214386135339737	0.15779243	Yes	
row_7	SLC1A3	SLC1A3	516	0.09833692759275436	0.17121147	Yes	
row_8	SLC25A6	SLC25A6	578	0.09318381547927856	0.18305004	Yes	
row_9	SLC44A2	SLC44A2	602	0.09152564406394958	0.19653797	Yes	
row_10	SLC8B1	SLC8B1	622	0.08965572714805603	0.20992823	Yes	
row_11	SLC39A3	SLC39A3	659	0.0868491530418396	0.22201276	Yes	
row_12	SLC30A7	SLC30A7	705	0.08460184931755066	0.23328415	Yes	
row_13	SLC1A4	SLC1A4	737	0.08293041586875916	0.2449935	Yes	
row_14	SLC8A1	SLC8A1	739	0.0828666016459465	0.25820428	Yes	
row_15	SLC7A11	SLC7A11	745	0.08244065195322037	0.2711453	Yes	
row_16	SLC9A7	SLC9A7	749	0.08227629959583282	0.28416085	Yes	
row_17	SLCO4C1	SLCO4C1	751	0.08218205720186234	0.29726207	Yes	
row_18	SLC33A1	SLC33A1	798	0.07946127653121948	0.30766043	Yes	
row_19	SLC30A1	SLC30A1	858	0.07652515172958374	0.3169339	Yes	
row_20	SLC44A1	SLC44A1	916	0.07369084656238556	0.32585454	Yes	
row_21	SLC28A3	SLC28A3	996	0.07049958407878876	0.33315596	Yes	
row_22	SLC11A2	SLC11A2	1106	0.06664726138114929	0.33832923	Yes	
row_23	SLC36A1	SLC36A1	1107	0.06664243340492249	0.34899405	Yes	
row_24	SLC16A3	SLC16A3	1140	0.06560949236154556	0.35788113	Yes	
row_25	SLC30A5	SLC30A5	1164	0.06481115520000458	0.36709395	Yes	
row_26	SLC29A3	SLC29A3	1208	0.06347513943910599	0.3750852	Yes	
row_27	SLC17A5	SLC17A5	1255	0.06199966371059418	0.38268918	Yes	
row_28	SLC25A29	SLC25A29	1327	0.059768196195364	0.38867635	Yes	
row_29	SLC38A2	SLC38A2	1331	0.05972698703408241	0.3980833	Yes	
row_30	SLC6A12	SLC6A12	1351	0.059101805090904236	0.40658402	Yes	
row_31	EMB	EMB	1354	0.059075355529785156	0.41593707	Yes	
row_32	SLC12A6	SLC12A6	1387	0.05839680880308151	0.4236699	Yes	
row_33	SLC35B4	SLC35B4	1632	0.052438922226428986	0.41976705	Yes	
row_34	SLC27A1	SLC27A1	1659	0.051860012114048004	0.42675614	Yes	
row_35	SLC16A10	SLC16A10	1717	0.050925664603710175	0.43203366	Yes	
row_36	SLC18A2	SLC18A2	1774	0.04976928234100342	0.43717653	Yes	
row_37	SLC22A15	SLC22A15	1785	0.049616701900959015	0.44461283	Yes	
row_38	SLC50A1	SLC50A1	1830	0.04886329546570778	0.45021537	Yes	
row_39	SLC7A5	SLC7A5	1959	0.04666968435049057	0.45123425	Yes	
row_40	SLC30A6	SLC30A6	2087	0.04463398829102516	0.45197776	Yes	
row_41	SLC15A4	SLC15A4	2132	0.043912000954151154	0.45678794	Yes	
row_42	SLC6A6	SLC6A6	2186	0.043027106672525406	0.461003	Yes	
row_43	ARL2BP	ARL2BP	2280	0.04162035509943962	0.46297744	Yes	
row_44	SLC4A7	SLC4A7	2314	0.041142191737890244	0.46789864	Yes	
row_45	SLC2A13	SLC2A13	2382	0.040406715124845505	0.47098893	Yes	
row_46	SLC5A3	SLC5A3	2456	0.039405908435583115	0.47361675	Yes	
row_47	SLC45A3	SLC45A3	2489	0.038991350680589676	0.47824413	Yes	
row_48	SLC26A2	SLC26A2	2552	0.0383249968290329	0.48125324	Yes	
row_49	CTNS	CTNS	2626	0.0376240611076355	0.4835959	Yes	
row_50	SLC39A8	SLC39A8	2648	0.03738429769873619	0.48852038	Yes	
row_51	SLC15A3	SLC15A3	2650	0.037368230521678925	0.49445003	Yes	
row_52	SLC22A18	SLC22A18	2789	0.03568733483552933	0.49320754	Yes	
row_53	SLC16A8	SLC16A8	2869	0.0348031111061573	0.49479643	Yes	
row_54	SLC2A1	SLC2A1	2882	0.03469300642609596	0.4997437	Yes	
row_55	SLC35D2	SLC35D2	3208	0.03142876923084259	0.48839718	No	
row_56	SLC16A1	SLC16A1	3214	0.03138425573706627	0.49316767	No	
row_57	SLC39A6	SLC39A6	3317	0.03045806661248207	0.4929023	No	
row_58	MFSD4B	MFSD4B	3373	0.029947912320494652	0.49492353	No	
row_59	SLC40A1	SLC40A1	3401	0.0297539085149765	0.49832457	No	
row_60	SLC9A6	SLC9A6	3529	0.028630360960960388	0.49650702	No	
row_61	SLC35D1	SLC35D1	3586	0.02810409665107727	0.4981828	No	
row_62	SLC4A2	SLC4A2	3874	0.025920385494828224	0.4878695	No	
row_63	SLC15A2	SLC15A2	4019	0.02480360120534897	0.48458296	No	
row_64	SLC24A1	SLC24A1	4336	0.022534726187586784	0.47226658	No	
row_65	SLC5A6	SLC5A6	4450	0.021819138899445534	0.47006446	No	
row_66	SLC24A3	SLC24A3	4531	0.021245038136839867	0.46943328	No	
row_67	SLC26A6	SLC26A6	4609	0.02081679180264473	0.4688847	No	
row_68	SLC9A8	SLC9A8	4625	0.020717134699225426	0.47144425	No	
row_69	SLC1A2	SLC1A2	4930	0.018929993733763695	0.45915568	No	
row_70	SLC20A2	SLC20A2	5058	0.018205106258392334	0.4556698	No	
row_71	SLC27A4	SLC27A4	5252	0.017361292615532875	0.44872323	No	
row_72	SLC9A9	SLC9A9	5359	0.01672125980257988	0.446058	No	
row_73	SLC9A1	SLC9A1	5407	0.01648499071598053	0.44632787	No	
row_74	SLC12A4	SLC12A4	5411	0.016469864174723625	0.44881237	No	
row_75	SLC35B3	SLC35B3	5547	0.015927879139780998	0.44455895	No	
row_76	SLC26A1	SLC26A1	5663	0.015489727258682251	0.44124314	No	
row_77	SLC3A1	SLC3A1	5841	0.014792834408581257	0.4346918	No	
row_78	SLC35A3	SLC35A3	5910	0.014485018327832222	0.43358344	No	
row_79	AHCYL2	AHCYL2	6808	0.011097039096057415	0.39016128	No	
row_80	SLC43A1	SLC43A1	6834	0.011011218652129173	0.39066368	No	
row_81	SLC6A7	SLC6A7	6945	0.010618720203638077	0.38682035	No	
row_82	PDZD11	PDZD11	6954	0.010592452250421047	0.38811234	No	
row_83	SLC6A11	SLC6A11	7009	0.010422789491713047	0.38705936	No	
row_84	SLC35B2	SLC35B2	7191	0.009819095022976398	0.3795105	No	
row_85	SLC26A4	SLC26A4	7333	0.009379078634083271	0.3739067	No	
row_86	SLC2A11	SLC2A11	7405	0.009126660414040089	0.3717897	No	
row_87	SLC9A5	SLC9A5	7613	0.00851267110556364	0.36272168	No	
row_88	SLC22A4	SLC22A4	7672	0.008355185389518738	0.36113626	No	
row_89	SLC2A8	SLC2A8	7881	0.007815146818757057	0.3519062	No	
row_90	CP	CP	7933	0.0076613109558820724	0.35056245	No	
row_91	SLC16A7	SLC16A7	7953	0.007607467472553253	0.3508225	No	
row_92	SLC14A2	SLC14A2	8064	0.0072914008051157	0.3464467	No	
row_93	SLC35A2	SLC35A2	8065	0.0072847334668040276	0.34761247	No	
row_94	SLC39A4	SLC39A4	8157	0.0070683276280760765	0.3441583	No	
row_95	SLC47A2	SLC47A2	8298	0.006670571863651276	0.33817148	No	
row_96	SLC26A7	SLC26A7	8299	0.006669802591204643	0.33923885	No	
row_97	SLC25A22	SLC25A22	8396	0.00640946114435792	0.3354273	No	
row_98	SLC38A5	SLC38A5	8604	0.00585926603525877	0.32593465	No	
row_99	SLC6A13	SLC6A13	8616	0.0058118063025176525	0.32631046	No	
row_100	RHAG	RHAG	8803	0.005265291780233383	0.31778088	No	
row_101	SLC4A5	SLC4A5	8964	0.004852950107306242	0.31049544	No	
row_102	SLC13A3	SLC13A3	8996	0.004768347833305597	0.3096965	No	
row_103	SLC43A2	SLC43A2	9616	0.003272248199209571	0.27902997	No	
row_104	SLC4A9	SLC4A9	9791	0.0028660744428634644	0.27072114	No	
row_105	SLC30A2	SLC30A2	10045	0.002284468850120902	0.25833854	No	
row_106	SLC7A9	SLC7A9	10052	0.002250969409942627	0.25839645	No	
row_107	SLC25A18	SLC25A18	10120	0.002084645675495267	0.25535405	No	
row_108	SLC28A2	SLC28A2	10139	0.002025329740718007	0.25477117	No	
row_109	SLC25A26	SLC25A26	10179	0.0019489664118736982	0.25311795	No	
row_110	SLC17A7	SLC17A7	10368	0.001531559624709189	0.24389009	No	
